Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Tariq Lamptey,Brighton,GHA,DF,13.6,13.6
Conor Chaplin,Ipswich Town,ENG,MF,9.8,13.51
James Tarkowski,Everton,ENG,DF,11.8,13.47
David Brooks,Bournemouth,WAL,FW,13.0,13.46
Martin Dúbravka,Newcastle Utd,SVK,GK,1.3,13.45
Altay Bayındır,Manchester Utd,TUR,GK,13.2,13.2
Kieran Trippier,Newcastle Utd,ENG,DF,5.1,12.84
Andrés García,Aston Villa,ESP,DF,10.4,12.83
Guido Rodríguez,West Ham,ARG,MF,13.6,12.64
Christian Nørgaard,Brentford,DEN,MF,14.4,12.23
Nick Pope,Newcastle Utd,ENG,GK,11.7,12.22
Yerson Mosquera,Wolves,COL,DF,12.4,12.18
Saša Lukić,Fulham,SRB,MF,12.1,12.1
Jesper Lindstrøm,Everton,DEN,FW,24.4,12.1
İlkay Gündoğan,Manchester City,GER,MF,12.1,12.1
Luke Woolfenden,Ipswich Town,ENG,DF,2.0,12.08
Stephy Mavididi,Leicester City,ENG,FW,12.9,11.83
Ramón Sosa,Nott'ham Forest,PAR,FW,17.4,11.79
Alex Scott,Bournemouth,ENG,MF,27.6,11.64
Abdul Fatawu Issahaku,Leicester City,GHA,FW,21.9,11.43
Jamie Vardy,Leicester City,ENG,FW,1.0,11.25
Santiago Bueno,Wolves,URU,DF,11.2,11.2
Mathias Jensen,Brentford,DEN,MF,14.7,11.11
Wataru Endo,Liverpool,JPN,MF,11.1,11.1
Konstantinos Mavropanos,West Ham,GRE,DF,19.1,11.02
Fabian Schär,Newcastle Utd,SUI,DF,11.0,11.0
Tim Iroegbunam,Everton,ENG,MF,13.8,10.41
Tommy Doyle,Wolves,ENG,MF,14.0,10.32
Luke Thomas,Leicester City,ENG,DF,7.8,10.23
Ryan Christie,Bournemouth,SCO,MF,16.2,10.2
Adam Smith,Bournemouth,ENG,DF,1.5,10.18
Arijanet Muric,Ipswich Town,KVX,GK,10.1,10.1
Ayden Heaven,Manchester Utd,ENG,DF,6.7,9.75
Harry Winks,Leicester City,ENG,MF,11.4,9.47
Solly March,Brighton,ENG,FW,7.3,9.19
Lewis Dunk,Brighton,ENG,DF,7.4,9.12
Michael Kayode,Brentford,ITA,DF,25.0,9.12
Matz Sels,Nott'ham Forest,BEL,GK,9.1,9.1
Jack Harrison,Everton,ENG,FW,17.7,8.9
Harry Amass,Manchester Utd,ENG,DF,0.7,8.82
Patson Daka,Leicester City,ZAM,FW,14.0,8.76
Kalvin Phillips,Ipswich Town,ENG,MF,17.2,8.56
Vitaly Janelt,Brentford,GER,MF,27.1,8.33
Ashley Young,Everton,ENG,DF,1.3,7.85
Kasey McAteer,Leicester City,IRL,FW,1.5,7.81
Jack Clarke,Ipswich Town,ENG,FW,19.4,7.71
Ethan Pinnock,Brentford,JAM,DF,7.6,7.6
Yehor Yarmoliuk,Brentford,UKR,MF,18.0,7.48
Carlos Forbs,Wolves,POR,MF,13.0,7.23
Ryan Sessegnon,Fulham,ENG,FW,11.8,6.95
Adama Traoré,Fulham,ESP,FW,8.0,6.89
Adam Webster,Brighton,ENG,DF,12.2,6.82
Jens Cajuste,Ipswich Town,SWE,MF,15.5,6.64
Kieran Tierney,Arsenal,SCO,DF,7.4,6.2
Nathan Broadhead,Ipswich Town,WAL,MF,6.1,6.1
Danny Ings,West Ham,ENG,FW,4.6,6.04
Stefan Ortega,Manchester City,GER,GK,5.8,5.8
Tyrique George,Chelsea,ENG,FW,15.7,5.78
George Hirst,Ipswich Town,SCO,FW,7.7,5.29
Michail Antonio,West Ham,JAM,FW,1.0,5.19
Ben Johnson,Ipswich Town,ENG,DF,12.6,5.12
Jack Stephens,Southampton,ENG,DF,1.4,4.92
Edmond-Paris Maghoma,Brentford,ENG,MF,0.8,4.87
Vladimír Coufal,West Ham,CZE,DF,4.8,4.8
Timo Werner,Tottenham,GER,FW,10.3,4.79
Nélson Semedo,Wolves,POR,DF,8.4,4.76
Oliver Skipp,Leicester City,ENG,MF,17.0,4.72
James Bree,Southampton,ENG,DF,1.9,4.71
Dan Burn,Newcastle Utd,ENG,DF,9.1,4.51
Joe Aribo,Southampton,NGA,MF,6.9,4.28
Michael Keane,Everton,ENG,DF,2.3,4.0
Callum Wilson,Newcastle Utd,ENG,FW,7.3,3.93
Harrison Reed,Fulham,ENG,MF,6.7,3.91
Nathan Wood-Gordon,Southampton,ENG,DF,6.1,3.85
Sven Botman,Newcastle Utd,NED,DF,52.7,3.66
Armel Bella Kotchap,Southampton,GER,DF,15.4,3.62
William Osula,Newcastle Utd,DEN,FW,10.3,3.52
Ben Mee,Brentford,ENG,DF,0.9,3.46
Matt Doherty,Wolves,IRL,DF,4.2,3.44
Conor Coady,Leicester City,ENG,DF,2.2,2.94
Luis Sinisterra,Bournemouth,COL,FW,15.4,2.55
Jannik Vestergaard,Leicester City,DEN,DF,2.0,2.4
Hákon Rafn Valdimarsson,Brentford,ISL,GK,2.4,2.4
Idrissa Gana Gueye,Everton,SEN,MF,5.0,2.26
Cameron Burgess,Ipswich Town,AUS,DF,1.7,1.7
Alex Palmer,Ipswich Town,ENG,GK,1.6,1.6
Neto,Bournemouth,BRA,GK,1.6,1.6
Joël Veltman,Brighton,NED,DF,5.7,1.56
Jason Steele,Brighton,ENG,GK,1.5,1.5
Christian Walton,Ipswich Town,ENG,GK,1.4,1.4
Sam Morsy,Ipswich Town,EGY,MF,1.3,1.3
Robin Olsen,Aston Villa,SWE,GK,0.9,0.9
Łukasz Fabiański,West Ham,POL,GK,0.9,0.9
Emil Krafth,Newcastle Utd,SWE,DF,2.0,0.76
Joe Lumley,Southampton,ENG,GK,0.7,0.7
Fraser Forster,Tottenham,ENG,GK,0.7,0.7
Jakub Stolarczyk,Leicester City,POL,GK,0.7,0.7
Sam Johnstone,Wolves,ENG,GK,7.9,0.66
Alex McCarthy,Southampton,ENG,GK,0.6,0.6
Ross Stewart,Southampton,SCO,FW,2.8,0.55
Danny Ward,Leicester City,WAL,GK,0.9,0.1
Ryan Fraser,Southampton,SCO,FW,2.3,0.1
Jonny Evans,Manchester Utd,NIR,DF,1.1,0.1
Conor Townsend,Ipswich Town,ENG,DF,1.2,0.1
Craig Dawson,Wolves,ENG,DF,1.5,0.1
Bobby De Cordova-Reid,Leicester City,JAM,FW,2.7,0.1
Massimo Luongo,Ipswich Town,AUS,MF,0.5,0.1
Harry Toffolo,Nott'ham Forest,ENG,DF,2.2,0.1
Odsonne Édouard,Crystal Palace,FRA,MF,12.4,0.1
Pablo Sarabia,Wolves,ESP,MF,4.9,0.1
William Smallbone,Southampton,IRL,MF,8.4,0.1
Tom Cairney,Fulham,SCO,MF,1.5,0.1
